"filename", "language", "Shell Script", "Dart", "JSON", "YAML", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/collection_agent/create_collection_agent.dart", "Dart", 0, 245, 0, 0, 0, 0, 0, 1, 13, 259
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/collection_agent/edit_driver.dart", "Dart", 0, 245, 0, 0, 0, 0, 0, 1, 8, 254
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/collection_agent/manage_collection_agent_page.dart", "Dart", 0, 189, 0, 0, 0, 0, 0, 0, 13, 202
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/collection_report/collection_report_data_table.dart", "Dart", 0, 195, 0, 0, 0, 0, 0, 1, 20, 216
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/collection_report/collection_report_page.dart", "Dart", 0, 649, 0, 0, 0, 0, 0, 3, 25, 677
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/custom_button.dart", "Dart", 0, 209, 0, 0, 0, 0, 0, 0, 9, 218
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/custom_input.dart", "Dart", 0, 385, 0, 0, 0, 0, 0, 0, 8, 393
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/delivery_input_widget.dart", "Dart", 0, 338, 0, 0, 0, 0, 0, 1, 28, 367
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/direct_sale/chicken_type_options.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/direct_sale/create_direct_sale_order.dart", "Dart", 0, 1185, 0, 0, 0, 0, 0, 19, 60, 1264
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/direct_sale/direct_sale_order_data_table.dart", "Dart", 0, 308, 0, 0, 0, 0, 0, 1, 25, 334
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/driver/create_driver.dart", "Dart", 0, 223, 0, 0, 0, 0, 0, 0, 6, 229
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/driver/driver_data_table.dart", "Dart", 0, 319, 0, 0, 0, 0, 0, 13, 22, 354
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/driver/driver_details.dart", "Dart", 0, 271, 0, 0, 0, 0, 0, 1, 10, 282
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/driver/edit_driver.dart", "Dart", 0, 245, 0, 0, 0, 0, 0, 1, 8, 254
